"CubeId";"bopcapbalq"
"PublishingDate";"2020-12-18 09:00"

"Date";"D0";"D1";"Value"
"2000-Q1";"NA";"T0";"139183.29199241"
"2000-Q1";"NA";"T1";"11236.525"
"2000-Q1";"NA";"B0";"5312.2"
"2000-Q1";"NA";"RE";"4209.3"
"2000-Q1";"NA";"K0";"1715.025"
"2000-Q1";"NA";"T2";"31760.41085005"
"2000-Q1";"NA";"T25";"18688.99908286"
"2000-Q1";"NA";"KFR";"11635.45048761"
"2000-Q1";"NA";"LFR";"7053.54859524"
"2000-Q1";"NA";"T3";"13071.41176719"
"2000-Q1";"NA";"A";"6722.02939719"
"2000-Q1";"NA";"K1";"6349.38237"
"2000-Q1";"NA";"T4";"105977.33125443"
"2000-Q1";"NA";"T5";"96744.27971856"
"2000-Q1";"NA";"N0";"3579.38537227"
"2000-Q1";"NA";"T55";"90583.09434629"
"2000-Q1";"NA";"FGB";"84991.84091514"
"2000-Q1";"NA";"OH0";
"2000-Q1";"NA";"US0";"2581.8"
"2000-Q1";"NA";"T6";"9233.05153587"
"2000-Q1";"NA";"N1";"0"
"2000-Q1";"NA";"T65";"7258.85153587"
"2000-Q1";"NA";"FGK";"7258.85153587"
"2000-Q1";"NA";"OH1";"0.5"
"2000-Q1";"NA";"US1";"1973.7"
"2000-Q1";"NA";"UNA";"0"
"2000-Q1";"NA";"T7";"-9790.97511206"
"2000-Q1";"NA";"G";
"2000-Q1";"NA";"RIWF";"-42"
"2000-Q1";"NA";"S1";"-313"
"2000-Q1";"NA";"T8";"-9436.97511206"
"2000-Q1";"NA";"W0";"-5647.88923258"
"2000-Q1";"NA";"BE";"-3789.08587949"
"2000-Q1";"NA";"U";"1"
"2000-Q1";"NP";"T0";"115569.60683038"
"2000-Q1";"NP";"T1";"7912.3"
"2000-Q1";"NP";"B0";"3872.125"
"2000-Q1";"NP";"RE";"2392.25"
"2000-Q1";"NP";"K0";"1647.925"
"2000-Q1";"NP";"T2";"-1745.11949929"
"2000-Q1";"NP";"T25";"23.85136408"
"2000-Q1";"NP";"KFR";"16.4519584"
"2000-Q1";"NP";"LFR";"7.39940568"
"2000-Q1";"NP";"T3";"-1768.97086338"
"2000-Q1";"NP";"A";"-4685.81933175"
"2000-Q1";"NP";"K1";"2916.84846837"
"2000-Q1";"NP";"T4";"109402.42632967"
"2000-Q1";"NP";"T5";"103978.62632967"
"2000-Q1";"NP";"N0";"-49.39714388"
"2000-Q1";"NP";"T55";"104028.02347356"
"2000-Q1";"NP";"VGB";"102964.49841706"
"2000-Q1";"NP";"VGK";"1562.3800522"
"2000-Q1";"NP";"OH0";
"2000-Q1";"NP";"US0";
"2000-Q1";"NP";"T6";"5423.8"
"2000-Q1";"NP";"N1";
"2000-Q1";"NP";"OH1";"-56.5"
"2000-Q1";"NP";"US1";"5480.3"
"2000-Q1";"NP";"UNP";"0"
"2000-Q1";"S";"KD";"23613.68516203"
